,,,,,,,,,,,,,,,,,,
C GRADE,,A GRADE,,A GRADE,,C GRADE,,D GRADE,,A GRADE,,C GRADE,,D GRADE,,E GRADE,,B GRADE
PEELWOOD #2,,PEELWOOD #1,,PINJARRA,,PINJARRA,,DWELLINGUP,,STAN TWIGHT RESERVE,,SHOALWATER,,CAREEBA,,WARNBRO,,PEELWOOD #1
28/03/2009,,26/03/2011,,23/03/2013,,23/03/2013,,23/03/2013,,29/03/2014,,29/03/2014,,29/03/2014,,29/03/2014,,12/03/2016
,,,,,,,,,,,,,,,,,,
DARREN JEFFREY (CAPT),,BRENNAN GILLAM,,CARY GREEN,,DAN McINNES,,DEAN FINLAY,,CARY GREEN,,DAN BAKER,,DEAN FINLAY,,JAYDEN MATTHEWS,,ALEX DILLON
DEAN FINLAY,,MITCHELL GREEN,,RYAN BURNS,,ANDREW KELMAN,,CRAIG FORBES,,ANDREW TATTERSON,,LEIGH BURNS,,JEFF DILLON (CAPT),,GLEN CRUICKSHANK,,CAMERON LUCAS
ANDREW KELMAN,,AL KRISTENSEN,,BRAD WISEMAN,,JEFF DILLON,,LEIGH BURNS,,BRAD WISEMAN (CAPT),,SHANNON WRIGHT,,MATTHEW LLOYD,,ERIC COCKING,,DANIEL HIGHAM
PETER WYLLIE,,DALE BURNS,,JOSH PETERSON,,ANDREW WHITE (CAPT),,DAVE ALLEN,,JOSH PETERSON,,PETER WYLLIE,,JOSHUA QUAID,,CHRIS THOMAS,,PHIL HEAD
BRAD SMITH,,BRENDON KING,,STEPHEN INWARD,,DARREN JEFFREY,,IAN BRAY,,STEPHEN INWARD,,DALE BURNS,,ANDREW WHITE,,MATT NEWTON (CAPT),,DECLAN CHAPPELL
ROD TREGENZA,,BRAD WISEMAN,,LIAM BLAMPIED,,DAN KENNY,,MATTHEW GUYTON,,MITCH GREEN,,ALEX DILLON,,GEOFF BUCHHOLZ,,MATTHEW GUYTON,,ELLIOT FOOTE
CHRIS BAKER,,CARY GREEN (CAPT),,CHRIS PHELPS,,PETER BOYCE,,WESLEY NAIDOO,,CHRIS PHELPS,,MATTHEW REILLY,,DAVE ALLEN,,MARK CRUICKSHANK,,GRANT MATTHEWS (CAPT)
IAN WHITE,,MICHAEL GRIFFITHS,,BLAIR CARTWRIGHT,,ELLIOT FOOTE,,CHRIS DERMAN,,BLAIR CARTWRIGHT,,MATTHEW GUYTON (CAPT),,DAMIAN BURRAGE,,RICHARD MULCAHY,,JOEL EVANS
ANDY WHITE,,CHRIS PHELPS,,MICHAEL GRIFFITHS (CAPT),,AARON FITZPATRICK,,DOUG McCARTHY,,RYAN BURNS,,DARREN JEFFREY,,ROSS BURRAGE,,KYLE JEFFREY,,MICHAEL CHAPPELL
ANTHONY BROKATE,,JOSH PETERSON,,TIM LEES,,ANDREW POCKLINGTON,,JAMES WOODS (CAPT),,CAMERON BURRAGE,,CHRIS BAKER,,JAMES WOODS,,GLEN FIELDER,,PETER BOYCE
DENNIS BLAND,,MATTHEW GORDON,,BRYCE JEFFREY,,DENNIS BLAND,,ADAM WHITEHORN,,ASHLEY JEFFREY,,MITCHELL FELTON,,DOUG McCARTHY,,SHAUN WILSON,,REID KLOPPER
LEIGH ELDER,,PHIL HALL,,MATTHEW GORDON,,MATHEW SKENGER,,ROD DIXON,,MATTHEW GORDON,,JAKE WYLLIE,,ROD DIXON,,ADAM WHITEHORNE,,TANNAH DUNNING
,,,,,,,,,,,,,,,,,,
M.O.M - DARREN JEFFREY,,,,M.O.M - MATTHEW GORDON,,M.O.M - ELLIOT FOOTE,,M.O.M - DAVE ALLEN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HALLS HEAD 2/75,,HALLS HEAD 157,,HALLS HEAD 148,,HALLS HEAD 6/128,,HALLS HEAD 7/174,,HALLS HEAD,,HALLS HEAD,,HALLS HEAD,,HALLS HEAD,,HALLS HEAD 5/83
DEF,,DEF,,DEF,,DEF,,DEF,,DEF,,DEF,,DEF,,DEF,,DEF
WAROONA 74,,PINJARRA 140,,WARNBRO SWANS 115,,WHITE KNIGHTS 126,,WHITE KNIGHTS 71,,MANDURAH (WASHOUT),,SHOALWATER (WASHOUT),,WHITE KNIGHTS (WASHOUT),,WHITE KNIGHTS (WASHOUT),,WHITE KNIGHTS BALDIVIS 81
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
E GRADE,,F GRADE,,B GRADE,,C GRADE,,E GRADE,,PPL,,FEMALE B GRADE ,,D GRADE RITCHIE CUP,,B GRADE T20,,RETRAVISION PREMIER T20 LEAGUE
