Year,Grade,Competition,Venue,Match Date,Result,Man of the Match,Player,Captain,Batting Order
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,PAUL GILLAM,,6
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,PETER WYLLIE,,7
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,SHANE SHANAHAN,,8
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,WAYNE REID,,9
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,ALLAN WILLEY,,10
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,ROGER WREN,,11
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,LAURIE CROSS,,1
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,PHIL BAILEY,,2
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,MARK ROWE,,3
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,MICK O'BRIEN,,4
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,ROBBIE LEAHY,,5
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,STEVE COX,,6
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,MARTIN CRUMP,Yes,7
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,IAN WALLACE,,8
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,JUSTIN LOCKYER,,9
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,RICHIE STEVENSON,,10
1998,B Grade,B GRADE,PEELWOOD #2,1998-03-28,Halls Head 8/177 def OLD IRWINIANS 156,LAURIE CROSS,MICK STANLEY,,11
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,SHANE SHANAHAN,,1
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,LEIGH BURNS,,2
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,LAURIE CROSS,,3
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,PAUL GILLAM,,4
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,PETER WYLLIE,,5
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,ROBBIE LEAHY,,6
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,WAYNE REID,,7
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,CRAIG THRELFALL,,8
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,DARRYL MORGAN,,9
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,ALLAN WILLEY,,10
1999,A Grade,A GRADE,PEELWOOD #1,1999-03-27,Halls Head 6/103 def WAROONA 102,LAURIE CROSS,ROGER WREN,Yes,11
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,CHRIS BAKER,Yes,1
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,BRIAN CULLEN,,2
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,MARTIN CRUMP,,3
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,DON SKIPWORTH,,4
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,PETER RADCLIFFE,,5
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,BEN MARCH,,6
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,IAN WALLACE,,7
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,PHIL WIRTH,,8
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,CHRIS WREN,,9
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,MICK STANLEY,,10
1999,B Grade,B GRADE,PEELWOOD #2,1999-03-27,Halls Head 163 tied OLD IRWINIANS 163,DON SKIPWORTH,DEAN PATTERSON,,11
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,DALE BURNS,,1
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,CHRIS PHELPS,,2
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,PETER WYLLIE,,3
2001,A Grade,A GRADE,PEELWOOD #1,2001-03-31,Halls Head 137 def WAROONA 106,DALE BURNS,LEIGH BURNS,Yes,4
